,id,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence,date
491,1WniHvhq9zTkny0WvGXX8o,0.168,0.859,195613,0.756,4.65e-05,8,0.163,-3.36,0,0.0643,102.033,4,0.91,2017-05-01
492,14oOKFGuXu8DqvOe1W8vao,0.115,0.797,227292,0.791,6e-05,6,0.144,-5.799,1,0.0626,106.044,4,0.516,2017-05-01
493,0KR2W3St74th8z3LS94Ffh,0.0741,0.568,220253,0.583,0.0,1,0.396,-6.81,0,0.0636,137.865,4,0.196,2017-05-01
494,09hQbo0PphvZ7y3ZZK9AJw,0.315,0.541,211325,0.67,0.0,2,0.132,-4.961,1,0.036,132.338,4,0.661,2017-05-01
495,5ELRkzdzz0HvGpMDlfZHkV,0.0259,0.518,340707,0.575,0.0,5,0.109,-4.616,1,0.0302,120.019,4,0.209,2017-05-01
496,1WC5UN1U79gJlxGLYDGIO7,0.0147,0.61,234662,0.712,1.12e-05,9,0.0843,-7.808,1,0.0776,128.921,4,0.283,2017-05-01
497,1mDGDb2fUmUMdqV3tb8VKQ,0.107,0.67,214802,0.585,1.11e-06,6,0.131,-4.861,0,0.0354,110.03,4,0.447,2017-05-01
498,5hHudNsfZXmdgefWxAX2LG,0.00647,0.695,182693,0.818,4.87e-06,5,0.0219,-5.379,0,0.0334,119.965,4,0.916,2017-05-01
499,4Sg0RUi010K0w7WVEJMuU8,0.437,0.647,185044,0.946,0.0,9,0.258,-3.365,0,0.105,168.021,4,0.778,2017-05-01
500,01Wh1O5hJVX2fyoAe8XjYE,0.226,0.891,153602,0.887,0.0,4,0.139,-2.055,1,0.0433,120.042,4,0.732,2017-05-01
501,56lBX2WHqfGuoeZxZvUnVj,0.00502,0.601,187761,0.834,0.15,0,0.121,-3.78,1,0.0455,167.879,4,0.249,2017-05-01
502,6yL2kTsdVwYnGwPkKGtMd5,0.0152,0.637,194840,0.733,0.0,7,0.162,-4.387,0,0.0553,131.005,4,0.432,2017-05-01
503,6gpcs5eMhJwax4mIfKDYQk,0.498,0.736,230813,0.795,1.21e-06,1,0.254,-3.299,0,0.0545,104.066,4,0.511,2017-05-01
504,0qYTZCo5Bwh1nsUFGZP3zn,0.231,0.755,229849,0.789,0.0,5,0.351,-4.502,1,0.146,93.973,4,0.737,2017-05-01
505,4iLqG9SeJSnt0cSPICSjxv,0.0969,0.774,211475,0.626,3.12e-05,3,0.0848,-4.432,0,0.0432,100.041,4,0.777,2017-05-01
506,74Rb8GLoyNYnjDIAnpUuhG,0.27,0.365,290000,0.228,0.0,7,0.26,-20.943,1,0.0372,140.169,4,0.281,2017-05-01
507,4QK5WwYwZz7t5hmUDyIoqv,0.878,0.605,156080,0.37,0.000201,7,0.0856,-6.094,1,0.0413,123.649,4,0.477,2017-05-01
508,13sXuI5RjMHm7dz7O3spYs,0.746,0.427,224867,0.262,0.0,7,0.068,-8.541,1,0.0276,104.085,4,0.228,2017-05-02
509,6OuV4vfyb8v3vGGGksqyKf,0.127,0.672,202194,0.642,0.0,5,0.137,-4.552,1,0.0461,123.984,4,0.656,2017-05-02
510,7MXVkk9YMctZqd1Srtv4MB,0.141,0.678,230453,0.588,6.35e-06,7,0.137,-7.015,1,0.276,186.005,4,0.486,2017-05-03
511,32bqxZEJRJObeNyc8bEiPt,0.0484,0.59,169801,0.671,0.0,9,0.0604,-6.098,1,0.0706,149.982,4,0.438,2017-05-03
512,1FiRonMYjuhJEDG2xHFDxH,0.0197,0.688,178583,0.805,0.0,2,0.0967,-4.753,0,0.127,108.94,4,0.499,2017-05-03
513,6MQJ0SPApUWxHYQShpZlZb,0.0029,0.639,188947,0.814,2.98e-05,2,0.0529,-5.632,0,0.0385,123.922,4,0.904,2017-05-04
514,167NczpNbRF7oWakJaY3Hh,0.0142,0.728,188174,0.426,0.0,0,0.0546,-6.69,1,0.0509,85.908,4,0.844,2017-05-04
515,56RVUAFH9NF8zhTZ5A9KVF,0.136,0.691,222000,0.821,0.000115,0,0.092,-4.527,1,0.0401,104.961,4,0.759,2017-05-04
516,06ZpMjkNdIDKVf3mK29UiC,0.0447,0.722,184071,0.84,1.28e-05,0,0.066,-3.939,1,0.0349,124.003,4,0.569,2017-05-05
517,3KK3nLgrRdycpnYxPDVfMV,0.416,0.494,184267,0.506,0.0,10,0.093,-6.391,1,0.0454,188.115,4,0.539,2017-05-05
